sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	A	200	1471.344625	51642368	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	B	200	1423.908292	49790976	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	A	200	1467.005125	51707904	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	B	200	1411.268833	49872896	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	A	200	1475.400708	51740672	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	B	200	1411.385459	49922048	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
7	A	200	1466.151042	51789824	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
8	B	200	1407.906041	50069504	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
9	A	200	1560.356875	51822592	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
10	B	200	1539.748958	50085888	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
11	A	200	1550.274208	51838976	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
12	B	200	1440.997543	50102272	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
13	A	200	1590.234125	52412416	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
14	B	200	1404.567417	50118656	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
15	A	200	1469.879750	54771712	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
16	B	200	1405.181750	50135040	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
17	A	200	1498.891084	62308352	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
18	B	200	1442.511500	50135040	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
19	A	200	1477.087291	71417856	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
20	B	200	1412.375334	50135040	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
